Key,Description,en,it
AV-42C_mfd_quicksave:T5_tooltip,Tooltip for an MFD button.,Back,
AV-42C_mfd_mpPlayers:B1,Label for an MFD button (short!).,BACK,
AV-42C_mfd_mpPlayers:B1_tooltip,Tooltip for an MFD button.,Back,
AV-42C_mfd_mpPlayers:T5,Label for an MFD button (short!).,MANAGE,
AV-42C_mfd_mpPlayers:T5_tooltip,Tooltip for an MFD button.,Manage Players,
AV-42C_mfd_mpPlayers:R4_tooltip,Tooltip for an MFD button.,Scroll Up,
AV-42C_mfd_mpPlayers:R5_tooltip,Tooltip for an MFD button.,Scroll Down,
mpPlayers_teamA,Team A title in players MFD page,Team a,
mpPlayers_KAD,Kills Assists Deaths column headers in MP players MFD page,K         a        d,
mpPlayers_teamB,Team B title in players MFD page,Team b,
AV-42C_mfd_netAnalytics:B1,Label for an MFD button (short!).,BACK,
AV-42C_mfd_netAnalytics:B1_tooltip,Tooltip for an MFD button.,Back,
rwrMode_0,RWR mode,On,
rwrMode_1,RWR mode,Silent,
rwrMode_2,RWR mode,Off,
arad_DECL,ARAD declutter button label,DECL,
sCam_autoReset,S-Cam auto reset view label.,Auto-Reset,
sCam_autoZoomPrefix,"S-Cam auto zoom prefix (Auto 40, etc)",Auto,
sCam_audio,S-Cam audio on/off label,AUDIO,
sCam_tgtMode_0,S-Cam target mode,SELF,
sCam_tgtMode_1,S-Cam target mode,MSSL,
sCam_tgtMode_2,S-Cam target mode,TGT,
sCam_random,S-Cam random view mode,Random,
sCam_behavior_0,S-Cam behavior,Stationary,
sCam_behavior_1,S-Cam behavior,FlyAlong,
sCam_behavior_2,S-Cam behavior,Fixed,
sCam_behavior_3,S-Cam behavior,Chase,
sCam_behavior_4,S-Cam behavior,PresetViews,
sCam_behavior_5,S-Cam behavior,SmoothLook,
sCam_behavior_6,S-Cam behavior,Camcorder,
Mk.82 Bomb x1_fullName,Full equip name of: Mk.82 Bomb x1,Mk.82 Bomb x1,
Mk.82 Bomb x1_description,Item description of: Mk.82 Bomb x1,Standard un-guided 500lb bomb.,
GBU-12 Laser Guided Bomb x2_fullName,Full equip name of: GBU-12 Laser Guided Bomb x2,GBU-12 Laser Guided Bomb x2,
GBU-12 Laser Guided Bomb x2_description,Item description of: GBU-12 Laser Guided Bomb x2,A rack of two 500lb laser guided bombs.,
SB-1 Bomb x3_fullName,Full equip name of: SB-1 Bomb x3,SB-1 Bomb x3,
SB-1 Bomb x3_description,Item description of: SB-1 Bomb x3,Standard un-guided 500lb bombs.,
2200L Fuel Drop Tank_fullName,Full equip name of: 2200L Fuel Drop Tank,2200L Fuel Drop Tank,
2200L Fuel Drop Tank_description,Item description of: 2200L Fuel Drop Tank,A 2200 liter fuel tank.,
MAD-4 Missile_fullName,Full equip name of: MAD-4 Missile,MAD-4 Missile,
MAD-4 Missile_description,Item description of: MAD-4 Missile,Standard semi-active radar-guided missile built for the Mobile Air Defense launcher. It has a range of about 55km (30nm).,
PGM-27 x7_fullName,Full equip name of: PGM-27 x7,PGM-27 x7,
PGM-27 x7_description,Item description of: PGM-27 x7,"A rack of 2.75 inch rockets which have been fitted with a laser guidance package, turning them into precision guided munitions.
Requires continuous lock for guidance (not fire-and-forget).",
eqSublabel_LG,HUD sub-label of an equip,LG,
loadoutConfig_cannon,Cannon hardpoint label,Cannon,
vehicleConfig_reloadAll,,Reload all,
vehicleConfig_endMission,,End mission,
vehicleConfig_returnToAircraft,,Return to aircraft,
vehicleConfig_respawn,,Respawn,
AIM-9+ Sidewinder_fullName,Full equip name of: AIM-9+ Sidewinder,AIM-9+ Sidewinder,
AIM-9+ Sidewinder_description,Item description of: AIM-9+ Sidewinder,Advanced short range heat seeking air to air missile.,
Hydra-70 x7 Rocket Pod_fullName,Full equip name of: Hydra-70 x7 Rocket Pod,Hydra-70 x7 Rocket Pod,
Hydra-70 x7 Rocket Pod_description,Item description of: Hydra-70 x7 Rocket Pod,"A pod carrying a total of 7 high explosive rockets.  Can be fired in single shot mode, or rapid fire (ripple).",
AH-94_mfd_cam:B1,Label for an MFD button (short!).,PREV,
AH-94_mfd_cam:B3,Label for an MFD button (short!).,NEXT,
AH-94_mfd_home:B1,Label for an MFD button (short!).,NAV,
AH-94_mfd_home:B1_tooltip,Tooltip for an MFD button.,Navigation,
AH-94_mfd_home:B2,Label for an MFD button (short!).,OBJ,
AH-94_mfd_home:B2_tooltip,Tooltip for an MFD button.,Objectives,
AH-94_mfd_home:B3,Label for an MFD button (short!).,CAM,
AH-94_mfd_home:B3_tooltip,Tooltip for an MFD button.,External Cameras,
AH-94_mfd_home:B4,Label for an MFD button (short!).,TADS,
AH-94_mfd_home:B4_tooltip,Tooltip for an MFD button.,Targeting,
AH-94_mfd_home:L4,Label for an MFD button (short!).,GPS,
AH-94_mfd_home:L4_tooltip,Tooltip for an MFD button.,GPS Targets,
AH-94_mfd_home:T5,Label for an MFD button (short!).,S-CAM,
AH-94_mfd_home:T5_tooltip,Tooltip for an MFD button.,Spectator Camera,
AH-94_mfd_home:R3,Label for an MFD button (short!).,GAME,
AH-94_mfd_home:R3_tooltip,Tooltip for an MFD button.,Game Menu,
AH-94_mfd_home:R5,Label for an MFD button (short!).,LOG,
AH-94_mfd_home:R5_tooltip,Tooltip for an MFD button.,Flight Log,
AH-94_mfd_home:L2,Label for an MFD button (short!).,EQUIP,
AH-94_mfd_home:L2_tooltip,Tooltip for an MFD button.,Mounted Equipment,
AH-94_mfd_home:L3,Label for an MFD button (short!).,OPTION,
AH-94_mfd_home:L3_tooltip,Tooltip for an MFD button.,Options,
AH-94_mfd_home:B5,Label for an MFD button (short!).,COMMS,
AH-94_mfd_home:B5_tooltip,Tooltip for an MFD button.,Communications,
AH-94_mfd_home:T4,Label for an MFD button (short!).,RADAR,
AH-94_mfd_home:T4_tooltip,Tooltip for an MFD button.,Radar,
AH-94_mfd_home:R4,Label for an MFD button (short!).,DATA,
AH-94_mfd_home:R4_tooltip,Tooltip for an MFD button.,Flight Data,
AH-94_mfd_home:L5,Label for an MFD button (short!).,CMS,
AH-94_mfd_home:L5_tooltip,Tooltip for an MFD button.,Countermeasure System,
AH-94_mfd_flightLog:R2_tooltip,Tooltip for an MFD button.,Scroll Up,
AH-94_mfd_flightLog:R4_tooltip,Tooltip for an MFD button.,Scroll Down,
AH-94_mfd_flightLog:R5_tooltip,Tooltip for an MFD button.,Scroll Bottom,
AH-94_mfd_flightLog:B3_tooltip,Tooltip for an MFD button.,Dump log to file.,
AH-94_mfd_mission:B1,Label for an MFD button (short!).,WPT,
AH-94_mfd_mission:B1_tooltip,Tooltip for an MFD button.,Set Waypoint,
AH-94_mfd_mission:B3,Label for an MFD button (short!).,NEXT,
AH-94_mfd_mission:B3_tooltip,Tooltip for an MFD button.,Next Objective,
AH-94_mfd_mission:B5,Label for an MFD button (short!).,PREV,
AH-94_mfd_mission:B5_tooltip,Tooltip for an MFD button.,Previous Objective,
AH-94_mfd_gpsTgts:T2,Label for an MFD button (short!).,MAP,
AH-94_mfd_gpsTgts:T2_tooltip,Tooltip for an MFD button.,Nav Map,
AH-94_mfd_gpsTgts:T3,Label for an MFD button (short!).,WPT,
AH-94_mfd_gpsTgts:T3_tooltip,Tooltip for an MFD button.,Set Waypoints,
AH-94_mfd_gpsTgts:L2_tooltip,Tooltip for an MFD button.,Previous Group,
AH-94_mfd_gpsTgts:L3_tooltip,Tooltip for an MFD button.,Next Group,
AH-94_mfd_gpsTgts:B1_tooltip,Tooltip for an MFD button.,Create Group,
AH-94_mfd_gpsTgts:B2_tooltip,Tooltip for an MFD button.,Delete Group,
AH-94_mfd_gpsTgts:B4_tooltip,Tooltip for an MFD button.,Delete Target,
AH-94_mfd_gpsTgts:R3_tooltip,Tooltip for an MFD button.,Next Target,
AH-94_mfd_gpsTgts:R2_tooltip,Tooltip for an MFD button.,Previous Target,
AH-94_mfd_gpsTgts:R1_tooltip,Tooltip for an MFD button.,Toggle Path Mode,
AH-94_mfd_gpsTgts:R4_tooltip,Tooltip for an MFD button.,Move Up,
AH-94_mfd_gpsTgts:R5_tooltip,Tooltip for an MFD button.,MoveDown,
AH-94_mfd_gpsTgts:B5,Label for an MFD button (short!).,SEND,
AH-94_mfd_gpsTgts:B5_tooltip,Tooltip for an MFD button.,Send Data,
AH-94_mfd_flyCam:B2,Label for an MFD button (short!).,START,
AH-94_mfd_flyCam:B2_tooltip,Tooltip for an MFD button.,Start Camera,
AH-94_mfd_flyCam:B3,Label for an MFD button (short!).,END,
AH-94_mfd_flyCam:B3_tooltip,Tooltip for an MFD button.,End Camera,
AH-94_mfd_flyCam:B1,Label for an MFD button (short!).,VIEW,
AH-94_mfd_flyCam:B1_tooltip,Tooltip for an MFD button.,Toggle Preview,
AH-94_mfd_flyCam:R1,Label for an MFD button (short!).,RANDM,
AH-94_mfd_flyCam:R1_tooltip,Tooltip for an MFD button.,Toggle Random,
AH-94_mfd_flyCam:L3,Label for an MFD button (short!).,FOV:,
AH-94_mfd_flyCam:L3_tooltip,Tooltip for an MFD button.,Toggle FOV,
AH-94_mfd_flyCam:L4,Label for an MFD button (short!).," ",
AH-94_mfd_flyCam:L4_tooltip,Tooltip for an MFD button.,Toggle AutoFOV,
AH-94_mfd_flyCam:L5,Label for an MFD button (short!).," ",
AH-94_mfd_flyCam:L5_tooltip,Tooltip for an MFD button.,Toggle Audio,
AH-94_mfd_flyCam:R2,Label for an MFD button (short!).,MODE,
AH-94_mfd_flyCam:R2_tooltip,Tooltip for an MFD button.,Toggle Cam Mode,
AH-94_mfd_flyCam:R3,Label for an MFD button (short!).,LOOK,
AH-94_mfd_flyCam:R3_tooltip,Tooltip for an MFD button.,Toggle Look Mode,
AH-94_mfd_flyCam:R5,Label for an MFD button (short!).," ",
AH-94_mfd_flyCam:R5_tooltip,Tooltip for an MFD button.,Toggle Auto-Reset,
AH-94_mfd_flyCam:B5,Label for an MFD button (short!).," ",
AH-94_mfd_flyCam:B5_tooltip,Tooltip for an MFD button.,Cycle Reset Time,
AH-94_mfd_flyCam:T3,Label for an MFD button (short!).,SS,
AH-94_mfd_flyCam:T3_tooltip,Tooltip for an MFD button.,4K Screenshot,
AH-94_mfd_antiRad:T5,Label for an MFD button (short!).,SOI,
AH-94_mfd_antiRad:T5_tooltip,Tooltip for an MFD button.,Sensor of Interest,
AH-94_mfd_antiRad:R4,Label for an MFD button (short!).,HUD,
AH-94_mfd_antiRad:R4_tooltip,Tooltip for an MFD button.,HUD Mode,
AH-94_mfd_antiRad:R5_tooltip,Tooltip for an MFD button.,Declutter,
AH-94_mfd_gameMenu:B2,Label for an MFD button (short!).,RESTART,
AH-94_mfd_gameMenu:B2_tooltip,Tooltip for an MFD button.,Restart Mission,
AH-94_mfd_gameMenu:B4,Label for an MFD button (short!).,EXIT,
AH-94_mfd_gameMenu:B4_tooltip,Tooltip for an MFD button.,Return to Main,
AH-94_mfd_gameMenu:B3,Label for an MFD button (short!).,EXIT,
AH-94_mfd_gameMenu:B3_tooltip,Tooltip for an MFD button.,Return to Briefing Room,
AH-94_mfd_gameMenu:R2,Label for an MFD button (short!).,CENTER,
AH-94_mfd_gameMenu:R2_tooltip,Tooltip for an MFD button.,Recenter Seat,
AH-94_mfd_gameMenu:L3,Label for an MFD button (short!).,QSAVE,
AH-94_mfd_gameMenu:L3_tooltip,Tooltip for an MFD button.,Quick Save Menu,
AH-94_mfd_gameMenu:R4,Label for an MFD button (short!).,PLAYERS,
AH-94_mfd_gameMenu:R4_tooltip,Tooltip for an MFD button.,View Players,
AH-94_mfd_gameMenu:R5,Label for an MFD button (short!).,NETWORK,
AH-94_mfd_gameMenu:R5_tooltip,Tooltip for an MFD button.,Network Analytics,
AH-94_mfd_quicksave:L3_tooltip,Tooltip for an MFD button.,Save,
AH-94_mfd_quicksave:B4_tooltip,Tooltip for an MFD button.,Load,
AH-94_mfd_quicksave:T5,Label for an MFD button (short!).,BACK,
AH-94_mfd_quicksave:T5_tooltip,Tooltip for an MFD button.,Back,
AH-94_mfd_mpPlayers:B1,Label for an MFD button (short!).,BACK,
AH-94_mfd_mpPlayers:B1_tooltip,Tooltip for an MFD button.,Back,
AH-94_mfd_mpPlayers:T5,Label for an MFD button (short!).,MANAGE,
AH-94_mfd_mpPlayers:T5_tooltip,Tooltip for an MFD button.,Manage Players,
AH-94_mfd_mpPlayers:R4_tooltip,Tooltip for an MFD button.,Scroll Up,
AH-94_mfd_mpPlayers:R5_tooltip,Tooltip for an MFD button.,Scroll Down,
AH-94_mfd_netAnalytics:B1,Label for an MFD button (short!).,BACK,
AH-94_mfd_netAnalytics:B1_tooltip,Tooltip for an MFD button.,Back,
AH-94_mfd_hardpoints:T4_tooltip,Tooltip for an MFD button.,HP Gun,
AH-94_mfd_hardpoints:L2_tooltip,Tooltip for an MFD button.,HP 1,
AH-94_mfd_hardpoints:L1_tooltip,Tooltip for an MFD button.,HP 2,
AH-94_mfd_hardpoints:R1_tooltip,Tooltip for an MFD button.,HP 3,
AH-94_mfd_hardpoints:R2_tooltip,Tooltip for an MFD button.,HP 4,
AH-94_mfd_hardpoints:L3_tooltip,Tooltip for an MFD button.,HP 5,
AH-94_mfd_hardpoints:R3_tooltip,Tooltip for an MFD button.,HP 6,
AH-94_mfd_hardpoints:B2,Label for an MFD button (short!).,MODE,
AH-94_mfd_hardpoints:B2_tooltip,Tooltip for an MFD button.,Toggle Mode,
AH-94_mfd_hardpointInfoPage:R1,Label for an MFD button (short!).,BACK,
AH-94_mfd_hardpointInfoPage:R1_tooltip,Tooltip for an MFD button.,Return to Equip,
AH-94_mfd_hardpointInfoPage:B2_tooltip,Tooltip for an MFD button.,Toggle Arming,
AH-94_mfd_hardpointInfoPage:B4_tooltip,Tooltip for an MFD button.,Toggle Jettison,
AH-94_mfd_cmsPage:L4_tooltip,Tooltip for an MFD button.,Release Mode,
AH-94_mfd_cmsPage:B2,Label for an MFD button (short!).,-,
AH-94_mfd_cmsPage:B2_tooltip,Tooltip for an MFD button.,- Release Rate,
AH-94_mfd_cmsPage:B4,Label for an MFD button (short!).,+,
AH-94_mfd_cmsPage:B4_tooltip,Tooltip for an MFD button.,+ Release Rate,
AH-94_mfd_target:B3,Label for an MFD button (short!).,HEAD,
AH-94_mfd_target:B3_tooltip,Tooltip for an MFD button.,Head-track Mode,
AH-94_mfd_target:B2,Label for an MFD button (short!).,FWD,
AH-94_mfd_target:B2_tooltip,Tooltip for an MFD button.,Forward Mode,
AH-94_mfd_target:L1,Label for an MFD button (short!).,PWR,
AH-94_mfd_target:L1_tooltip,Tooltip for an MFD button.,Toggle TGP Power,
AH-94_mfd_target:R1,Label for an MFD button (short!).,ZOOM+,
AH-94_mfd_target:R1_tooltip,Tooltip for an MFD button.,Zoom In,
AH-94_mfd_target:R2,Label for an MFD button (short!).,ZOOM-,
AH-94_mfd_target:R2_tooltip,Tooltip for an MFD button.,Zoom Out,
AH-94_mfd_target:R3,Label for an MFD button (short!).,GPS-S,
AH-94_mfd_target:R3_tooltip,Tooltip for an MFD button.,GPS Send,
AH-94_mfd_target:R4,Label for an MFD button (short!).,GPS-A,
AH-94_mfd_target:R4_tooltip,Tooltip for an MFD button.,GPS Acquire,
AH-94_mfd_target:L2,Label for an MFD button (short!).,MODE,
AH-94_mfd_target:L2_tooltip,Tooltip for an MFD button.,Cycle Modes,
AH-94_mfd_target:L3,Label for an MFD button (short!).,SENS,
AH-94_mfd_target:L3_tooltip,Tooltip for an MFD button.,Sensor Mode,
AH-94_mfd_target:T3,Label for an MFD button (short!).,WPT,
AH-94_mfd_target:T3_tooltip,Tooltip for an MFD button.,To Waypoint,
AH-94_mfd_target:T4,Label for an MFD button (short!).,SOI,
AH-94_mfd_target:T4_tooltip,Tooltip for an MFD button.,Toggle Sensor of Interest,
AH-94_mfd_target:B4,Label for an MFD button (short!).,HMD,
AH-94_mfd_target:B4_tooltip,Tooltip for an MFD button.,Toggle HMD View,
AH-94_mfd_target:L4,Label for an MFD button (short!).,LIM,
AH-94_mfd_target:L4_tooltip,Tooltip for an MFD button.,Toggle Limits Overlay,
AH-94_mfd_target:B1,Label for an MFD button (short!).,MARK,
AH-94_mfd_target:B1_tooltip,Tooltip for an MFD button.,Toggle Laser Marker,
AH-94_mfd_map:T2,Label for an MFD button (short!).,GPS,
AH-94_mfd_map:T2_tooltip,Tooltip for an MFD button.,GPS Targets,
AH-94_mfd_map:R2,Label for an MFD button (short!).,ZOOM+,
AH-94_mfd_map:R3,Label for an MFD button (short!).,ZOOM-,
AH-94_mfd_map:R4,Label for an MFD button (short!).,UP,
AH-94_mfd_map:R5,Label for an MFD button (short!).,DOWN,
AH-94_mfd_map:B4,Label for an MFD button (short!).,LEFT,
AH-94_mfd_map:B5,Label for an MFD button (short!).,RIGHT,
AH-94_mfd_map:R1,Label for an MFD button (short!).,RESET,
AH-94_mfd_map:R1_tooltip,Tooltip for an MFD button.,Reset Offset,
AH-94_mfd_map:T3,Label for an MFD button (short!).,MODE,
AH-94_mfd_map:T3_tooltip,Tooltip for an MFD button.,Toggle Rotation Mode,
AH-94_mfd_map:T4,Label for an MFD button (short!).,SOI,
AH-94_mfd_map:T4_tooltip,Tooltip for an MFD button.,Toggle Sensor of Interest,
AH-94_mfd_map:L4,Label for an MFD button (short!).,FUEL,
AH-94_mfd_map:L4_tooltip,Tooltip for an MFD button.,Set Fuel Waypoint,
AH-94_mfd_map:L3,Label for an MFD button (short!).,RTB,
AH-94_mfd_map:L3_tooltip,Tooltip for an MFD button.,Set Return to Base Waypoint,
AH-94_mfd_map:L2,Label for an MFD button (short!).,OBJ,
AH-94_mfd_map:L2_tooltip,Tooltip for an MFD button.,Set Objective Waypoint,
AH-94_mfd_map:B1,Label for an MFD button (short!).,ALT-,
AH-94_mfd_map:B1_tooltip,Tooltip for an MFD button.,Lower Target Alt,
AH-94_mfd_map:B2,Label for an MFD button (short!).,ALT+,
AH-94_mfd_map:B2_tooltip,Tooltip for an MFD button.,Raise Target Alt,
AH-94_mfd_map:B3,Label for an MFD button (short!).,GPS-S,
AH-94_mfd_map:B3_tooltip,Tooltip for an MFD button.,Send GPS Target,
AH-94_mfd_radar:R1,Label for an MFD button (short!).,R+,
AH-94_mfd_radar:R1_tooltip,Tooltip for an MFD button.,Range +,
AH-94_mfd_radar:R2,Label for an MFD button (short!).,R-,
AH-94_mfd_radar:R2_tooltip,Tooltip for an MFD button.,Range -,
AH-94_mfd_radar:B1,Label for an MFD button (short!).,PWR,
AH-94_mfd_radar:B1_tooltip,Tooltip for an MFD button.,Radar Power,
AH-94_mfd_radar:B2,Label for an MFD button (short!).,UNLCK,
AH-94_mfd_radar:B2_tooltip,Tooltip for an MFD button.,Unlock,
AH-94_mfd_radar:T4,Label for an MFD button (short!).,SOI,
AH-94_mfd_radar:T4_tooltip,Tooltip for an MFD button.,Sensor of Interest,
AH-94_mfd_radar:B4,Label for an MFD button (short!).,SLAVE,
AH-94_mfd_radar:B4_tooltip,Tooltip for an MFD button.,Slave TADS,
AH-94_mfd_radar:L4,Label for an MFD button (short!).,GPS-S,
AH-94_mfd_radar:L4_tooltip,Tooltip for an MFD button.,Send GPS,
AH-94_mfd_radar:R3,Label for an MFD button (short!).,+,
AH-94_mfd_radar:R3_tooltip,Tooltip for an MFD button.,Elevation +,
AH-94_mfd_radar:R4,Label for an MFD button (short!).,-,
AH-94_mfd_radar:R4_tooltip,Tooltip for an MFD button.,Elevation -,
AH-94_mfd_radar:L3,Label for an MFD button (short!).,MODE,
AH-94_mfd_radar:L3_tooltip,Tooltip for an MFD button.,AG/AA Mode,
AH-94_mfd_options:L2_tooltip,Tooltip for an MFD button.,Unit Options,
AH-94_mfd_options:R2_tooltip,Tooltip for an MFD button.,Toggle Joystick Mode,
AH-94_mfd_options:L3_tooltip,Tooltip for an MFD button.,Fuel Settings,
AH-94_mfd_options:L4_tooltip,Tooltip for an MFD button.,Altitude Warning Settings,
AH-94_mfd_options:R3_tooltip,Tooltip for an MFD button.,Joystick Sensitivity,
AH-94_mfd_options:R4_tooltip,Tooltip for an MFD button.,Control Hints,
AH-94_mfd_options:R5_tooltip,Tooltip for an MFD button.,Bail When Spinning,
AH-94_mfd_unitOptions:L2_tooltip,Tooltip for an MFD button.,Altitude Units,
AH-94_mfd_unitOptions:L3_tooltip,Tooltip for an MFD button.,Distance Units,
AH-94_mfd_unitOptions:L4_tooltip,Tooltip for an MFD button.,Speed Units,
AH-94_mfd_unitOptions:T3,Label for an MFD button (short!).,BACK,
AH-94_mfd_unitOptions:T3_tooltip,Tooltip for an MFD button.,Back,
AH-94_mfd_fuelConfig:T3,Label for an MFD button (short!).,BACK,
AH-94_mfd_fuelConfig:T3_tooltip,Tooltip for an MFD button.,Back,
AH-94_mfd_fuelConfig:L3_tooltip,Tooltip for an MFD button.,Bingo Fuel +,
AH-94_mfd_fuelConfig:L4_tooltip,Tooltip for an MFD button.,Bingo Fuel -,
AH-94_mfd_altitudeSettings:T3,Label for an MFD button (short!).,BACK,
AH-94_mfd_altitudeSettings:T3_tooltip,Tooltip for an MFD button.,Back,
AH-94_mfd_altitudeSettings:L3_tooltip,Tooltip for an MFD button.,Min Alt +,
AH-94_mfd_altitudeSettings:L4_tooltip,Tooltip for an MFD button.,Min Alt -,
AH-94_mfd_altitudeSettings:R3_tooltip,Tooltip for an MFD button.,Max Alt +,
AH-94_mfd_altitudeSettings:R4_tooltip,Tooltip for an MFD button.,Max Alt -,
AH-94_mfd_altitudeSettings:L2_tooltip,Tooltip for an MFD button.,Toggle Alt Mode,
870L Fuel Drop Tank_fullName,Full equip name of: 870L Fuel Drop Tank,870L Fuel Drop Tank,
870L Fuel Drop Tank_description,Item description of: 870L Fuel Drop Tank,870 liter external fuel tank.,
AGM-126 SideARM II x1_fullName,Full equip name of: AGM-126 SideARM II x1,AGM-126 SideARM II x1,
AGM-126 SideARM II x1_description,Item description of: AGM-126 SideARM II x1,Compact short range anti-radiation missile based on the AIM-9x.,
GBU-39 SD Bomb x3_fullName,Full equip name of: GBU-39 SD Bomb x3,GBU-39 SD Bomb x3,
GBU-39 SD Bomb x3_description,Item description of: GBU-39 SD Bomb x3,GPS guided small diameter bomb. It has built-in folding wings that allow it to glide for long distances and hit targets with precision.,
tutName_Vertical Flight,Name of a legacy tutorial objective,Vertical Flight,
tutDesc_Vertical Flight,Description of a legacy tutorial,Complete the Vertical Flight tutorial.,
tut:Vertical Flight:Intro10,A tutorial label,Welcome to the Vertical Flight autopilot training.,
tut:Vertical Flight:Intro21,A tutorial label,"Vertical flight can be tricky, but by using the AP, you will be a master in no time.",
tut:Vertical Flight:CheckTilt2,A tutorial label,"First, make sure the engines are tilted at 90 degrees.",
tut:Vertical Flight:CheckTilt3,A tutorial label,"First, make sure the engines are tilted at 90 degrees.",
tut:Vertical Flight:EnableHVR4,A tutorial label,Enable HVR mode.,
tut:Vertical Flight:EnableALT5,A tutorial label,Enable ALT mode.,
tut:Vertical Flight:HVRInfo6,A tutorial label,The HVR mode will assist you in staying upright and keeping your horizontal velocity under control.,
tut:Vertical Flight:ALTInfo7,A tutorial label,The ALT mode will take control of the engines and convert inputs into climb or descent rates.,
tut:Vertical Flight:ALTInfo28,A tutorial label,Keeping your throttle centered will hold a hover,
tut:Vertical Flight:ALTInfo39,A tutorial label,Raise or lower the throttle to climb or descend,
tut:Vertical Flight:AltThrottleInfo10,A tutorial label,Altitude Control Status,
tut:Vertical Flight:DontTilt11,A tutorial label,Keep your left thumb away from the tilt control.,
tut:Vertical Flight:DontTilt212,A tutorial label,Any engine tilt less than 90 will disengage HVR AP,
tut:Vertical Flight:TakeOffNow13,A tutorial label,Lift throttle now.  Climb to {50} altitude.,
tut:Vertical Flight:HoldAltitude14,A tutorial label,Now set your throttle lever to the midpoint to hover.,
tut:Vertical Flight:HoverInfo15,A tutorial label,You should now be in a stable hover,
tut:Vertical Flight:HoverInfo216,A tutorial label,You can make adjustments to the throttle to climb or descend as needed.,
tut:Vertical Flight:LatMovementInfo17,A tutorial label,Now you can use the joystick to move around,
tut:Vertical Flight:LatMovementInfo218,A tutorial label,The HVR autopilot will handle attitude control,
tut:Vertical Flight:LatMovementInfo319,A tutorial label,You just have to tilt the joystick in the direction you want to go,
tut:Vertical Flight:LatMovementInfo420,A tutorial label,You can also twist the joystick to yaw,
tut:Vertical Flight:LatMovementHUD21,A tutorial label,Horizontal Velocity Indicator,
tut:Vertical Flight:StudyMovement22,A tutorial label,"As you move around, study how the AP handles the vehicle",
tut:Vertical Flight:StartTargets23,A tutorial label,Let's try flying into some targets.,
tut:Vertical Flight:HoverWaypoint024,A tutorial label,Hover here!,
tut:Vertical Flight:HoverWaypoint125,A tutorial label,Hover here!,
tut:Vertical Flight:HoverWaypoint226,A tutorial label,Hover here!,
tut:Vertical Flight:HoverWaypoint327,A tutorial label,Hover here!,
tut:Vertical Flight:GoodJob28,A tutorial label,Great! Now lets try to land back on the helipad.,
tut:Vertical Flight:StopBeforeLand29,A tutorial label,"Bring yourself to a stop by centering the throttle, and steering the stick in the opposite direction as your horizontal velocity indicator.",
tut:Vertical Flight:FaceLanding30,A tutorial label,Rotate to face towards the helipads.,
tut:Vertical Flight:HeadTowardPad31,A tutorial label,Begin to move towards the pad.  Adjust your altitude control and steer so your velocity vector is pointed just above the pad.,
tut:Vertical Flight:AlmostLand32,A tutorial label,Slow your forward speed and rate of descent.,
tut:Vertical Flight:Land33,A tutorial label,Adjust rate of descent to bring it down gently.,
tut:Vertical Flight:Touchdown34,A tutorial label,Touch down!  Throttle down and enable brake locks.,
tut:Vertical Flight:Brake Locks35,A tutorial label,Enable brake lock.,
tut:Vertical Flight:Congrats36,A tutorial label,Congratulations!  Next time: Manual vertical flight and transitioning.,
PGM-27 x19_fullName,Full equip name of: PGM-27 x19,PGM-27 x19,
PGM-27 x19_description,Item description of: PGM-27 x19,"A rack of 2.75 inch rockets which have been fitted with a laser guidance package, turning them into precision guided munitions.
Requires continuous lock for guidance (not fire-and-forget).",
EUCAV GUN_fullName,Full equip name of: EUCAV GUN,EUCAV GUN,
EUCAV GUN_description,Item description of: EUCAV GUN,EUCAV GUN,
eqSublabel_GPS-BOMB-INTERNAL,HUD sub-label of an equip,GPS BOMB INTERNAL,
Mk.82 Bomb x3_fullName,Full equip name of: Mk.82 Bomb x3,Mk.82 Bomb x3,
Mk.82 Bomb x3_description,Item description of: Mk.82 Bomb x3,Standard un-guided 500lb bombs.,
ASF-SRM-RA x2_fullName,Full equip name of: ASF-SRM-RA x2,ASF-SRM-RA x2,
ASF-SRM-RA x2_description,Item description of: ASF-SRM-RA x2,A rack of two older rear-aspect heat-seeking anti-air missiles.,
AGM-114 x4_fullName,Full equip name of: AGM-114 x4,AGM-114 x4,
AGM-114 x4_description,Item description of: AGM-114 x4,"A rack of 4 laser guided anti-tank missiles.
Requires continuous lock for guidance (not fire-and-forget).",
Mk-82AIR High Drag Bomb x2_fullName,Full equip name of: Mk-82AIR High Drag Bomb x2,Mk-82AIR High Drag Bomb x2,
Mk-82AIR High Drag Bomb x2_description,Item description of: Mk-82AIR High Drag Bomb x2,Standard un-guided 500lb bombs. Deploys an inflatable drag chute to slow descent for low altitude bombing.,
GMA-6 x2_fullName,Full equip name of: GMA-6 x2,GMA-6 x2,
GMA-6 x2_description,Item description of: GMA-6 x2,"A medium range optically guided ""fire-and-forget"" anti-tank missile.",
GBU-39 SD Bomb x4_fullName,Full equip name of: GBU-39 SD Bomb x4,GBU-39 SD Bomb x4,
GBU-39 SD Bomb x4_description,Item description of: GBU-39 SD Bomb x4,GPS guided small diameter bomb. It has built-in folding wings that allow it to glide for long distances and hit targets with precision.,
BSM-66LR_fullName,Full equip name of: BSM-66LR,BSM-66LR,
